23/01/2023 14:42, Temperatura Interna = 0.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 26.11468483317294,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 71.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.104641141701723,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 71.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.099619296402672,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 71.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.094597451394655,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.094597451394655,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.08957560667768,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.084553762251744,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.079531918116846,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.06948823072016,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.064466387458378,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.059444544487633,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.054422701807926,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.3125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.049400859419258,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.044379017321624,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.039357175515033,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.03433533399948,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.029313492774964,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 40.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 26.029313492774964,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 69.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.024291651841487,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 69.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.019269811199045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 69.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.014247970847645,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 40.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 26.014247970847645,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 69.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.009226130787283,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:43, Temperatura Interna = 69.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.00420429101796,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:43, Temperatura Interna = 69.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.00420429101796,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:43, Temperatura Interna = 69.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.00420429101796,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:43, Temperatura Interna = 69.375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.999182451539674,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:43, Temperatura Interna = 40.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.999182451539674,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:43, Temperatura Interna = 1.401298464324817e-45, Temperatura Referencial = 25, Temperatura Ambiente = 25.994160612352424,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.994160612352424,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.989138773456215,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.984116934851045,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.984116934851045,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.984116934851045,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.97407325851382,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.97407325851382,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:44, Temperatura Interna = 0.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.0625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.0625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.75, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.75, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.3125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.3125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.1875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.1875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.97407325851382,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.97407325851382,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.9375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.97407325851382,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.9375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.97407325851382,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.97407325851382,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.75, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.75, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.979095096536913,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.984116934851045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.984116934851045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.984116934851045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.984116934851045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.989138773456215,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.1875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.989138773456215,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.1875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.994160612352424,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.994160612352424,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 63.0625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.999182451539674,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 63.0625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.999182451539674,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.9375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.00420429101796,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.009226130787283,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.009226130787283,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.014247970847645,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.014247970847645,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.014247970847645,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.014247970847645,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.019269811199045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.019269811199045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.019269811199045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.024291651841487,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.024291651841487,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.3125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.029313492774964,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.3125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.029313492774964,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.1875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.03433533399948,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.03433533399948,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.039357175515033,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 62.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.039357175515033,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.9375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.044379017321624,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.9375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.049400859419258,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.049400859419258,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.054422701807926,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.75, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.059444544487633,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 40.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 26.059444544487633,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.064466387458378,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.06948823072016,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.06948823072016,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.074510074272986,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.074510074272986,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 40.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 26.079531918116846,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.3125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.079531918116846,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.3125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.084553762251744,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.1875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.08957560667768,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 61.1875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.08957560667768,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 40.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.08957560667768,  Ventoinha = -100.0%, Resistor = 0%
23/01/2023 14:45, Temperatura Interna = 1.401298464324817e-45, Temperatura Referencial = 25, Temperatura Ambiente = 26.094597451394655,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.099619296402672,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.099619296402672,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.099619296402672,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.104641141701723,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.104641141701723,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.109662987291813,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.109662987291813,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.11468483317294,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.119706679345107,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.119706679345107,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.124728525808315,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.129750372562558,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.13477221960784,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.13979406694416,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.13979406694416,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.144815914571517,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.149837762489916,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.149837762489916,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.15485961069935,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:45, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 26.159881459199823,  Ventoinha = 0%, Resistor = 100.0%
